influencer_name,user_id,followers_count,following_count,total_posts,post_id,post_type,likes,comments_count,timestamp,caption,comments
ViratKohli,user_0,270000000,290,1550,post_ViratKohli_0,IMAGE,3200000,85000,2025-09-20T18:45:00,Another great win for Team India! 🇮🇳🏏 #Grateful,"['Proud of you King Kohli!', 'Legend!', 'What a player!', 'Goat 🐐']"
ViratKohli,user_0,270000000,290,1550,post_ViratKohli_1,VIDEO,4100000,91000,2025-08-25T14:20:00,Workout motivation 💪 #NoDaysOff,"['Incredible dedication!', 'Fitness goals!', 'Inspiring as always!']"
ViratKohli,user_0,270000000,290,1550,post_ViratKohli_2,CAROUSEL,2800000,78000,2025-07-30T10:30:00,Throwback to that amazing match moment ⚡,"['Unreal energy!', 'Best ever!', 'Respect champ!']"
PriyankaChopra,user_1,92500000,650,2100,post_PriyankaChopra_0,IMAGE,1900000,60000,2025-09-15T11:15:00,Excited for my next global project! 🌍❤️ #NewBeginnings,"['So proud!', 'Queen of hearts!', 'Can’t wait to watch!']"
PriyankaChopra,user_1,92500000,650,2100,post_PriyankaChopra_1,VIDEO,2150000,64000,2025-08-18T08:30:00,Behind the scenes 🎬✨,"['Always slaying!', 'You inspire millions!', 'Global icon!']"
PriyankaChopra,user_1,92500000,650,2100,post_PriyankaChopra_2,CAROUSEL,1750000,55000,2025-07-25T09:45:00,Family time in LA ☀️,"['Beautiful moments!', 'Lovely family!', 'Always spreading love!']"
AliaBhatt,user_2,86200000,500,1800,post_AliaBhatt_0,IMAGE,1500000,42000,2025-09-12T13:00:00,My happy place 🧡 #GratefulHeart,"['So adorable!', 'Queen!', 'Pure sunshine!']"
AliaBhatt,user_2,86200000,500,1800,post_AliaBhatt_1,VIDEO,1620000,47000,2025-08-22T16:10:00,Sneak peek from my new shoot 🎥✨,"['Elegance personified!', 'Can’t wait for the movie!', 'So graceful!']"
AliaBhatt,user_2,86200000,500,1800,post_AliaBhatt_2,CAROUSEL,1580000,46000,2025-07-28T15:30:00,Behind the scenes from the Met Gala 💫,"['Slayed it!', 'You’re glowing!', 'Truly iconic!']"
ShraddhaKapoor,user_3,94200000,420,1700,post_ShraddhaKapoor_0,IMAGE,1750000,50000,2025-09-10T09:45:00,Sunday vibes 🌸💖 #NatureLover,"['Cutest!', 'Angel energy!', 'Love your smile!']"
ShraddhaKapoor,user_3,94200000,420,1700,post_ShraddhaKapoor_1,VIDEO,1820000,52000,2025-08-28T14:00:00,Fun day at the studio 🎶,"['So fun!', 'Such positivity!', 'Can’t get enough!']"
ShraddhaKapoor,user_3,94200000,420,1700,post_ShraddhaKapoor_2,CAROUSEL,1650000,48000,2025-07-19T17:00:00,Throwback to Bali 🌴🌊,"['Dreamy!', 'Vacation goals!', 'Love these vibes!']"
DeepikaPadukone,user_4,80400000,350,1600,post_DeepikaPadukone_0,IMAGE,2100000,62000,2025-09-18T19:30:00,Grateful for the love 💕 #Deepika,"['Elegance!', 'So graceful!', 'Always stunning!']"
DeepikaPadukone,user_4,80400000,350,1600,post_DeepikaPadukone_1,VIDEO,2250000,65000,2025-08-21T12:30:00,New brand shoot 💫✨,"['Perfection!', 'Iconic presence!', 'Queen of hearts!']"
DeepikaPadukone,user_4,80400000,350,1600,post_DeepikaPadukone_2,CAROUSEL,1980000,60000,2025-07-24T18:45:00,Memories from Cannes 🌹,"['Always classy!', 'Cannes royalty!', 'Beauty personified!']"
NehaKakkar,user_5,78400000,700,1250,post_NehaKakkar_0,VIDEO,960000,38000,2025-09-08T10:20:00,My new music video is OUT now! 🎤💃 #NehaKakkar,"['On repeat!', 'You always rock!', 'Voice of the generation!']"
NehaKakkar,user_5,78400000,700,1250,post_NehaKakkar_1,IMAGE,880000,35000,2025-08-25T15:00:00,Grateful for all your love ❤️,"['Queen of melody!', 'Such a sweetheart!', 'Always smiling!']"
NehaKakkar,user_5,78400000,700,1250,post_NehaKakkar_2,CAROUSEL,910000,36000,2025-07-30T09:15:00,Behind the scenes from my concert tour 🎶,"['Energy unmatched!', 'Love your vibe!', 'Keep shining!']"
